fid;ID;INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;veg_surface;iris_surface_vg;iris_surface
1;IRIS____0000000514541401;51454;Reims;1401;514541401;Port Sec;A;2.50607159945513;57.6281961005449;60.1342677
2;IRIS____0000000514541902;51454;Reims;1902;514541902;Zone de Protection des Captages;A;32.1677697774481;208.305213722552;240.4729835
3;IRIS____0000000514543301;51454;Reims;3301;514543301;Centre Hospitalier Régional Debré;A;2.94806382589188;44.7688576741081;47.7169215
4;IRIS____0000000514543701;51454;Reims;3701;514543701;Z.I. Ouest;A;3.27412916319001;166.31854653681;169.5926757
5;IRIS____0000000514544002;51454;Reims;4002;514544002;Épinettes Activités;A;0.289482925706316;12.6200011742937;12.9094841
6;IRIS____0000000514544401;51454;Reims;4401;514544401;Farman Zone Industrielle Sud-Est;A;20.5493066598929;322.489674740107;343.0389814
7;IRIS____0000000514544901;51454;Reims;4901;514544901;Neuvillette Activités;A;27.652419699923;353.644471100077;381.2968908
8;IRIS____0000000514540901;51454;Reims;901;514540901;Bois d'Amour Jardins Ouvriers;D;7.66518414736015;63.8230493526398;71.4882335
9;IRIS____0000000514542601;51454;Reims;2601;514542601;Maroc Caravanes;D;12.1885246300699;35.1960430699301;47.3845677
10;IRIS____0000000514542703;51454;Reims;2703;514542703;Terres Agricoles;D;1.34173506656527;86.5623769334347;87.904112
11;IRIS____0000000514544201;51454;Reims;4201;514544201;Fac de Sciences Campus;D;14.5211085229057;103.764947177094;118.2860557
12;IRIS____0000000514545001;51454;Reims;5001;514545001;Terres Agricoles;D;7.20815733878036;452.90395806122;460.1121154
13;IRIS____0000000514540101;51454;Reims;101;514540101;Cathédrale;H;1.77387769327446;32.3655852067255;34.1394629
14;IRIS____0000000514540201;51454;Reims;201;514540201;Hincmar Ouest;H;0.621426267066045;14.693036732934;15.314463
15;IRIS____0000000514540202;51454;Reims;202;514540202;Hincmar Est;H;0.807319636614871;19.2058854633851;20.0132051
16;IRIS____0000000514540203;51454;Reims;203;514540203;Hincmar Sud;H;1.18521765602762;23.2064454439724;24.3916631
17;IRIS____0000000514540301;51454;Reims;301;514540301;Centre Erlon Ouest;H;8.02409334288678;28.7230293571132;36.7471227
18;IRIS____0000000514540302;51454;Reims;302;514540302;Centre Erlon Est;H;3.6816730757751;34.3340904242249;38.0157635
19;IRIS____0000000514540401;51454;Reims;401;514540401;Lundy;H;5.40184968098546;55.0986844190145;60.5005341
20;IRIS____0000000514540501;51454;Reims;501;514540501;Cérès;H;3.19250066837322;30.3446960316268;33.5371967
21;IRIS____0000000514540601;51454;Reims;601;514540601;Barbâtre Nord;H;1.77542004901393;21.9502172509861;23.7256373
22;IRIS____0000000514540602;51454;Reims;602;514540602;Barbâtre Sud;H;3.24924310933595;20.6454793906641;23.8947225
23;IRIS____0000000514540701;51454;Reims;701;514540701;Sainte-Anne;H;12.0093964617931;63.9745946382069;75.9839911
24;IRIS____0000000514540801;51454;Reims;801;514540801;Courlancy-Nord;H;4.71463373227171;44.6942758677283;49.4089096
25;IRIS____0000000514540802;51454;Reims;802;514540802;Courlancy-Sud;H;14.514435168397;54.841041731603;69.3554769
26;IRIS____0000000514541001;51454;Reims;1001;514541001;Clairmarais;H;3.0151563012489;66.6731198987511;69.6882762
27;IRIS____0000000514541101;51454;Reims;1101;514541101;Mont d'Arène Ouest;H;0.670051739375182;19.9309316606248;20.6009834
28;IRIS____0000000514541102;51454;Reims;1102;514541102;Mont d'Arène Est;H;0.50624441169998;16.0641225883;16.570367
29;IRIS____0000000514541201;51454;Reims;1201;514541201;Laon Sud-Ouest;H;0.889619665974177;25.4936326340258;26.3832523
30;IRIS____0000000514541202;51454;Reims;1202;514541202;Laon Sud-Est;H;0.245375737258547;15.3578022627415;15.603178
31;IRIS____0000000514541301;51454;Reims;1301;514541301;Lesage;H;0.884147132036063;21.8248427679639;22.7089899
32;IRIS____0000000514541501;51454;Reims;1501;514541501;Jamin-Sud-Ouest;H;0.672406322615069;14.5114945773849;15.1839009
33;IRIS____0000000514541502;51454;Reims;1502;514541502;Jamin-Nord-Est;H;1.34998607460727;24.8040115253927;26.1539976
34;IRIS____0000000514541601;51454;Reims;1601;514541601;Cernay Sud;H;0.69622974378833;20.9411718562117;21.6374016
35;IRIS____0000000514541602;51454;Reims;1602;514541602;Cernay-Centre;H;0.214524998347011;21.732959501653;21.9474845
36;IRIS____0000000514541603;51454;Reims;1603;514541603;Cernay Est;H;2.44074435823079;74.1849768417692;76.6257212
37;IRIS____0000000514541701;51454;Reims;1701;514541701;Coutures Sud;H;3.66691094289211;27.7224032571079;31.3893142
38;IRIS____0000000514541702;51454;Reims;1702;514541702;Coutures Nord-Ouest;H;0.314160677807149;10.5678378221928;10.8819985
39;IRIS____0000000514541703;51454;Reims;1703;514541703;Coutures Nord-Est;H;2.06664115856574;28.1948556414343;30.2614968
40;IRIS____0000000514541801;51454;Reims;1801;514541801;Saint-Rémi Ouest;H;1.81712116890228;13.3021997310977;15.1193209
41;IRIS____0000000514541802;51454;Reims;1802;514541802;Saint-Rémi Nord Est et Sud;H;3.73836585364713;24.4255281463529;28.163894
42;IRIS____0000000514541901;51454;Reims;1901;514541901;Parc de Vesle Nord;H;4.5596368986343;24.5883049013657;29.1479418
43;IRIS____0000000514542001;51454;Reims;2001;514542001;Case Fayère;H;4.11835721974244;30.5703007802576;34.688658
44;IRIS____0000000514542101;51454;Reims;2101;514542101;Wilson Nord;H;2.08080207427233;18.9974577257277;21.0782598
45;IRIS____0000000514542102;51454;Reims;2102;514542102;Wilson Sud;H;1.84943350167889;18.6396022983211;20.4890358
46;IRIS____0000000514542201;51454;Reims;2201;514542201;Mulhouse François d'Or;H;5.62783468472164;40.3675161152784;45.9953508
47;IRIS____0000000514542301;51454;Reims;2301;514542301;Cité Jardin Charles Arnould;H;2.25813444032044;30.0139717596796;32.2721062
49;IRIS____0000000514542402;51454;Reims;2402;514542402;Laon Nord-Est;H;0.349227437283896;18.7034239627161;19.0526514
50;IRIS____0000000514542501;51454;Reims;2501;514542501;Neufchatel Ouest;H;0.882316069145055;23.4417853308549;24.3241014
51;IRIS____0000000514542502;51454;Reims;2502;514542502;Neufchatel Nord-Est;H;0.822861272873854;25.7578241271261;26.5806854
52;IRIS____0000000514542503;51454;Reims;2503;514542503;Neufchatel Sud Est;H;3.28257252334167;33.4683166766583;36.7508892
53;IRIS____0000000514542701;51454;Reims;2701;514542701;Tunisie Sud-Ouest;H;2.45465459746046;35.4215075025395;37.8761621
54;IRIS____0000000514542702;51454;Reims;2702;514542702;Tunisie Centre;H;9.97664627044014;80.7832698295599;90.7599161
55;IRIS____0000000514542801;51454;Reims;2801;514542801;Pommery;H;1.87521649890606;45.2584575010939;47.133674
56;IRIS____0000000514542901;51454;Reims;2901;514542901;Cité Jardin Chemin Vert;H;2.40713575264787;28.9081808473521;31.3153166
57;IRIS____0000000514543001;51454;Reims;3001;514543001;Maison de Champagne;H;22.9020075217366;62.4686742782634;85.3706818
58;IRIS____0000000514543101;51454;Reims;3101;514543101;Châtillons Nord-Est;H;2.60049860777402;23.517534992226;26.1180336
59;IRIS____0000000514543102;51454;Reims;3102;514543102;Châtillons Centre;H;0.865057976284273;13.5313107237157;14.3963687
60;IRIS____0000000514543103;51454;Reims;3103;514543103;Châtillons Sud;H;0.724904025477683;15.8744614745223;16.5993655
61;IRIS____0000000514543201;51454;Reims;3201;514543201;Murigny Nord-Nord-Ouest;H;4.36588483506038;26.9626991649396;31.328584
62;IRIS____0000000514543202;51454;Reims;3202;514543202;Murigny Nord-Sud-Est;H;12.0794943301313;49.6439895698687;61.7234839
63;IRIS____0000000514543401;51454;Reims;3401;514543401;Cité Jardin Maison Blanche;H;0.831157924575425;27.6847972754246;28.5159552
64;IRIS____0000000514543501;51454;Reims;3501;514543501;Maison Blanche Grand Ensemble;H;1.92673596865027;15.3664072313497;17.2931432
65;IRIS____0000000514543601;51454;Reims;3601;514543601;Croix Rouge Université Nord-Ouest;H;2.09967530889223;27.4722667911078;29.5719421
66;IRIS____0000000514543602;51454;Reims;3602;514543602;Croix Rouge Université Sud-Ouest et Est;H;10.8684501241852;72.1756027758148;83.0440529
67;IRIS____0000000514543603;51454;Reims;3603;514543603;Croix Rouge Université Centre-Est;H;5.10869510828574;17.1581707917143;22.2668659
68;IRIS____0000000514543801;51454;Reims;3801;514543801;Trois Fontaines;H;4.71688326933647;77.0791902306635;81.7960735
69;IRIS____0000000514543901;51454;Reims;3901;514543901;Orgeval Ouest;H;0.65450316212914;15.5936547378709;16.2481579
70;IRIS____0000000514543902;51454;Reims;3902;514543902;Orgeval Nord-Est;H;2.32197056423511;34.2112733357649;36.5332439
71;IRIS____0000000514543903;51454;Reims;3903;514543903;Orgeval Sud-Est;H;0.594175761092119;6.07648543890788;6.6706612
72;IRIS____0000000514544001;51454;Reims;4001;514544001;Épinettes Sud;H;2.51678945255164;51.1346635474484;53.651453
73;IRIS____0000000514544101;51454;Reims;4101;514544101;Europe Sud-Ouest;H;1.58939775980098;13.909129840199;15.4985276
74;IRIS____0000000514544102;51454;Reims;4102;514544102;Europe Nord-Est;H;3.76263768181375;26.6608453181863;30.423483
75;IRIS____0000000514544301;51454;Reims;4301;514544301;Verrerie;H;22.0263729497019;68.2447700502981;90.271143
76;IRIS____0000000514544501;51454;Reims;4501;514544501;Murigny Sud-Ouest;H;23.1929873021794;96.0252265978206;119.2182139
77;IRIS____0000000514544502;51454;Reims;4502;514544502;Murigny Sud-Centre;H;3.9336084525552;22.9592563474448;26.8928648
78;IRIS____0000000514544503;51454;Reims;4503;514544503;Murigny Sud-Est;H;5.09337485102176;69.4159473489782;74.5093222
79;IRIS____0000000514544601;51454;Reims;4601;514544601;Croix du Sud Nord-Est;H;2.34814938577874;17.9805063142213;20.3286557
80;IRIS____0000000514544602;51454;Reims;4602;514544602;Croix du Sud Sud-Ouest;H;1.35290106643271;9.04044223356729;10.3933433
81;IRIS____0000000514544603;51454;Reims;4603;514544603;Croix du Sud Sud-Est;H;1.4044678030953;7.9049322969047;9.3094001
82;IRIS____0000000514544701;51454;Reims;4701;514544701;Pays de France Nord-Ouest et Sud;H;4.12484769399617;40.2582187060038;44.3830664
83;IRIS____0000000514544702;51454;Reims;4702;514544702;Pays de France Centre;H;0.89142220283271;8.89181499716729;9.7832372
84;IRIS____0000000514544703;51454;Reims;4703;514544703;Pays de France Est;H;0.723898025175195;9.3191226748248;10.0430207
85;IRIS____0000000514544801;51454;Reims;4801;514544801;La Neuvillette Habitat;H;6.25955260062112;87.7665803993789;94.026133
